Round1,Round2,Round3,Round4,Result
9,9,3,9,Win
9,9,8,9,Win
9,4,0,9,Loss
9,9,5,9,Win
9,9,9,,Win
9,8,9,9,Win
9,9,9,,Win
7,9,9,9,Win
9,9,9,,Win
9,9,9,,Win
9,10,9,,Win
9,9,9,,Win
9,6,9,9,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,4,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,4,9,9,Win
9,9,9,,Win
9,9,9,,Win
9,9,9,,Win
9,9,3,9,Win
5,7,9,1,Loss
9,9,9,,Win
9,9,9,,Win
9,10,9,,Win
9,4,7,7,Loss
9,9,9,,Win
9,9,9,,Win
9,8,9,,Win
15,10,15,15,Win
15,15,15,,Win
15,15,15,,Win
9,15,9,15,Loss
15,15,12,15,Win
15,15,15,,Win
15,14,15,,Win
15,5,15,15,Win
15,15,9,15,Win
15,9,5,5,loss
